energia_prestep_MeV,count_in_bin,sum_edep_bin_MeV,edep_media_por_entrada_MeV
3.972499999999999920e-01,6.640000000000000000e+02,9.409578704833984375e+01,1.417105226631624193e-01
4.007499999999999396e-01,6.580000000000000000e+02,9.400010681152343750e+01,1.428573051846860620e-01
4.042499999999999982e-01,7.030000000000000000e+02,1.020629806518554972e+02,1.451820492914018546e-01
4.077499999999999458e-01,6.660000000000000000e+02,1.000811843872070028e+02,1.502720486294399360e-01
4.112500000000000044e-01,6.680000000000000000e+02,1.032195510864257955e+02,1.545202860575236592e-01
4.147499999999999520e-01,6.890000000000000000e+02,1.059044418334960938e+02,1.537074627481801181e-01
4.182499999999999551e-01,6.760000000000000000e+02,1.052142181396483949e+02,1.556423345261070956e-01
4.217499999999999583e-01,6.530000000000000000e+02,9.688071441650390625e+01,1.483625029349217583e-01
4.252499999999999059e-01,6.650000000000000000e+02,1.022074813842773011e+02,1.536954607282365326e-01
4.287499999999999645e-01,6.840000000000000000e+02,1.057836914062500000e+02,1.546545195997807154e-01
4.322499999999999121e-01,6.870000000000000000e+02,1.020727310180664062e+02,1.485774832868506645e-01
4.357499999999999707e-01,6.680000000000000000e+02,1.062153396606445028e+02,1.590049994919827958e-01
4.392499999999999183e-01,6.110000000000000000e+02,9.873997497558593750e+01,1.616038870304188912e-01
4.427499999999999769e-01,6.820000000000000000e+02,1.124729080200195028e+02,1.649162874193834394e-01
4.462499999999999245e-01,6.440000000000000000e+02,1.018102111816405966e+02,1.580903900336034229e-01
4.497499999999999831e-01,5.940000000000000000e+02,9.219956207275390625e+01,1.552181179675991562e-01
4.532499999999999307e-01,6.610000000000000000e+02,1.044926223754882955e+02,1.580826359689686822e-01
4.567499999999999893e-01,6.520000000000000000e+02,1.063215408325195028e+02,1.630698479026372605e-01
4.602499999999999369e-01,6.520000000000000000e+02,1.085483398437500000e+02,1.664851838094325021e-01
4.637499999999999956e-01,6.140000000000000000e+02,1.004335556030273011e+02,1.635725661287089627e-01
4.672499999999999432e-01,6.320000000000000000e+02,1.022590866088867045e+02,1.618023522292511285e-01
4.707500000000000018e-01,5.900000000000000000e+02,9.715936279296875000e+01,1.646768860897775411e-01
4.742499999999999494e-01,6.010000000000000000e+02,1.073657608032226989e+02,1.786451926842307913e-01
4.777499999999999525e-01,3.470000000000000000e+02,5.310140991210938211e+01,1.530299997467129136e-01
4.812499999999999556e-01,1.660000000000000000e+02,1.719055557250976918e+01,1.035575636898178886e-01
4.847499999999999032e-01,1.370000000000000000e+02,1.143917560577392933e+01,8.349763215893378498e-02
4.882499999999999618e-01,1.070000000000000000e+02,6.679142951965332031e+00,6.242189674733954891e-02
4.917499999999999094e-01,1.210000000000000000e+02,5.525196552276611328e+00,4.566278142377364763e-02
4.952499999999999680e-01,9.200000000000000000e+01,4.640949726104736328e+00,5.044510571852973968e-02
4.987499999999999156e-01,1.030000000000000000e+02,3.366058349609375000e+00,3.268017815154732747e-02
5.022499999999999742e-01,1.220000000000000000e+02,3.918855905532836914e+00,3.212176971748226945e-02
5.057499999999999218e-01,9.300000000000000000e+01,3.105189561843872070e+00,3.338913507359002331e-02
5.092499999999999805e-01,1.020000000000000000e+02,2.422452926635742188e+00,2.374953849642884654e-02
5.127499999999999281e-01,1.120000000000000000e+02,3.060473442077637163e+00,2.732565573283604610e-02
5.162499999999998757e-01,9.500000000000000000e+01,2.860972404479980025e+00,3.011549899452610479e-02
5.197499999999999343e-01,9.700000000000000000e+01,3.216135740280150923e+00,3.315603855958918628e-02
5.232499999999999929e-01,1.030000000000000000e+02,2.547062158584595171e+00,2.472875882120966276e-02
